year	Winter	Summer
1845	-2.5	-1
1846	1.7	1.8
1847	-2.3	0.3
1848	0	-0.7
1849	1	-0.3
1850	-0.6	0.1
1851	1	-0.4
1852	0.8	0.7
1853	0.6	-0.6
1854	-1	-0.6
1855	-1.9	0
1856	-0.2	0
1857	-0.3	1.3
1858	0.2	0.5
1859	1.1	1.2
1860	-1.7	-1.8
1861	-1.4	0
1862	0.3	-1.4
1863	1.7	-0.5
1864	-0.3	-0.8
1865	-1.3	0.5
1866	1.4	0
1867	0.7	-0.1
1868	0.5	1.6
1869	2.7	0.1
1870	-1	0.9
1871	-1.7	-0.2
1872	1.1	0.3
1873	0.2	0
1874	0.9	0.2
1875	-1.1	-0.2
1876	0.1	0.8
1877	1.9	-0.2
1878	0.9	0.7
1879	-3.4	-1.6
1880	-1.6	0
1881	-1.8	-0.6
1882	1	-0.8
1883	0.8	-0.7
1884	1.5	0.6
1885	0.3	-0.6
1886	-1.5	-0.1
1887	-1.3	0.9
1888	-1.5	-1.6
1889	-0.2	-0.1
1890	0.1	-1.2
1891	-2.6	-0.6
1892	-0.7	-0.9
1893	-1.2	1.2
1894	0.4	-0.7
1895	-2.7	0
1896	0.4	0.3
1897	-0.3	0.7
1898	1.4	-0.1
1899	1.8	1.7
1900	-0.9	0.6
1901	0.4	0.6
1902	-0.7	-0.9
1903	1.2	-1
1904	-0.4	-0.1
1905	0.1	0.3
1906	0.5	0.4
1907	-0.9	-1.6
1908	0.1	-0.3
1909	-0.5	-1.3
1910	0.1	-0.5
1911	1	1.8
1912	1.1	-0.9
1913	1.4	-0.5
1914	1.1	0.2
1915	0.3	-0.5
1916	1.6	-0.7
1917	-2.5	0.3
1918	0.1	-0.3
1919	0	-0.6
1920	1.6	-1.2
1921	1.5	1
1922	0.9	-1.5
1923	1.7	-0.1
1924	-0.1	-0.8
1925	1.8	0.5
1926	0.7	0.4
1927	0.2	-0.5
1928	0.3	-0.5
1929	-2.3	-0.3
1930	0.7	0.2
1931	-0.2	-0.5
1932	0.9	0.5
1933	0.1	1.8
1934	-0.9	0.9
1935	2.1	1
1936	-1	0.1
1937	1.4	0.5
1938	0.6	0.1
1939	0.7	0.1
1940	-2.6	0.4
1941	-1.4	0.5
1942	-1.7	0.3
1943	1.9	0.4
1944	0.3	0.4
1945	-0.4	0.5
1946	0.5	-0.5
1947	-2.8	1.8
1948	1.1	-0.4
1949	1.6	1.3
1950	1.1	0.7
1951	-1.1	-0.2
1952	-0.1	0.4
1953	-0.6	0.1
1954	0.2	-1.2
1955	-0.4	1.3
1956	-1	-1.1
1957	1.5	0.4
1958	0.2	0
1959	-0.5	1.3
1960	0.6	0.1
1961	0.8	-0.2
1962	-0.4	-0.8
1963	-4.3	-0.4
1964	-0.5	-0.1
1965	-0.7	-0.7
1966	0.4	-0.2
1967	1.1	0.2
1968	-0.5	-0.2
1969	-0.8	0.5
1970	-0.7	0.6
1971	0.4	-0.2
1972	0.9	-1.1
1973	0.9	0.4
1974	1.4	-0.5
1975	2.5	1.7
1976	1.2	2.5
1977	-0.7	-0.8
1978	0.1	-0.7
1979	-2.4	-0.2
1980	0.6	-0.4
1981	0.6	-0.3
1982	-1.5	0.7
1983	0.4	1.9
1984	0.3	1.1
1985	-1.3	-0.7
1986	-1	-0.4
1987	-0.5	-0.5
1988	1.3	-0.5
1989	2.5	1.2
1990	2.2	1
1991	-0.9	0.3
1992	0.6	0.5
1993	0.7	-0.3
1994	0.7	0.9
1995	1.9	2.2
1996	-1	0.6
1997	-0.1	1.4
1998	2.1	0
1999	1.4	0.7
2000	1.4	0.5
2001	0.5	0.9
2002	1.3	0.6
2003	0.7	2.1
2004	1.1	1
2005	1.3	1
2006	0.1	2
2007	2.5	0
2008	1.6	0.2
2009	-0.5	0.6
2010	-1.6	0.6
2011	-1	0
